Time (s),Current (A)
1.158203125,3.49246e-09
1.1591796875,-3.637979e-09
1.16015625,-5.820766e-10
1.1611328125,3.49246e-09
1.162109375,2.473826e-09
1.1630859375,-5.820766e-10
1.1640625,-1.600711e-09
1.1650390625,4.365575e-10
1.166015625,-5.820766e-10
1.1669921875,6.548362e-09
1.16796875,2.473826e-09
1.1689453125,2.473826e-09
1.169921875,1.455192e-09
1.1708984375,2.473826e-09
1.171875,2.473826e-09
1.1728515625,3.49246e-09
1.173828125,-1.600711e-09
1.1748046875,-5.820766e-10
1.17578125,4.511094e-09
1.1767578125,1.164153e-08
1.177734375,6.548362e-09
1.1787109375,4.511094e-09
1.1796875,1.455192e-09
1.1806640625,2.473826e-09
1.181640625,-1.600711e-09
1.1826171875,4.511094e-09
1.18359375,7.566996e-09
1.1845703125,7.566996e-09
1.185546875,4.365575e-10
1.1865234375,7.566996e-09
1.1875,9.604264e-09
1.1884765625,3.49246e-09
1.189453125,2.473826e-09
1.1904296875,2.473826e-09
1.19140625,5.529728e-09
1.1923828125,-5.820766e-10
1.193359375,5.529728e-09
1.1943359375,4.511094e-09
1.1953125,9.604264e-09
1.1962890625,6.548362e-09
1.197265625,1.455192e-09
1.1982421875,1.455192e-09
1.19921875,2.473826e-09
1.2001953125,4.365575e-10
1.201171875,-5.820766e-10
1.2021484375,4.365575e-10
1.203125,4.511094e-09
1.2041015625,3.49246e-09
1.205078125,3.49246e-09
1.2060546875,5.529728e-09
1.20703125,1.455192e-09
1.2080078125,-1.600711e-09
1.208984375,-1.600711e-09
1.2099609375,1.455192e-09
1.2109375,2.473826e-09
1.2119140625,6.548362e-09
1.212890625,6.548362e-09
1.2138671875,3.49246e-09
1.21484375,3.49246e-09
1.2158203125,-2.619345e-09
1.216796875,5.529728e-09
1.2177734375,3.49246e-09
1.21875,2.473826e-09
1.2197265625,3.49246e-09
1.220703125,4.511094e-09
1.2216796875,1.06229e-08
1.22265625,1.164153e-08
1.2236328125,8.58563e-09
1.224609375,6.548362e-09
1.2255859375,7.566996e-09
1.2265625,2.473826e-09
1.2275390625,4.511094e-09
1.228515625,2.473826e-09
1.2294921875,-5.820766e-10
1.23046875,2.473826e-09
1.2314453125,6.548362e-09
1.232421875,7.566996e-09
1.2333984375,8.58563e-09
1.234375,4.511094e-09
1.2353515625,-5.820766e-10
1.236328125,-5.820766e-10
1.2373046875,4.365575e-10
1.23828125,7.566996e-09
1.2392578125,6.548362e-09
1.240234375,4.511094e-09
1.2412109375,4.365575e-10
1.2421875,3.49246e-09
1.2431640625,4.365575e-10
1.244140625,4.511094e-09
1.2451171875,-5.820766e-10
1.24609375,4.365575e-10
1.2470703125,-5.820766e-10
1.248046875,2.473826e-09
1.2490234375,1.455192e-09
1.25,1.164153e-08
1.2509765625,1.266017e-08
1.251953125,6.548362e-09
1.2529296875,3.49246e-09
1.25390625,3.49246e-09
1.2548828125,-2.619345e-09
1.255859375,2.473826e-09
1.2568359375,-5.820766e-10
1.2578125,2.473826e-09
1.2587890625,8.58563e-09
1.259765625,5.529728e-09
1.2607421875,9.604264e-09
1.26171875,2.473826e-09
1.2626953125,-5.820766e-10
1.263671875,2.473826e-09
